modomics_position	fasta_position	modification	fasta_entry
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-1-3
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-1-3
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-1-3
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-1-3
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-1-4
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-1-4
18	18	D	Homo_sapiens_tRNA-Gly-GCC-1-4
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-1-4
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-1-4
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-1-4
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-1-4
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-1-4
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-1-4
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-1-4
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-2-1
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-2-1
18	18	D	Homo_sapiens_tRNA-Gly-GCC-2-1
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-2-1
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-2-1
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-2-1
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-2-1
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-2-1
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-2-1
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-2-1
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-3-1
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-3-1
18	18	D	Homo_sapiens_tRNA-Gly-GCC-3-1
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-3-1
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-3-1
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-3-1
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-3-1
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-3-1
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-3-1
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-3-1
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-2-4
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-2-4
18	18	D	Homo_sapiens_tRNA-Gly-GCC-2-4
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-2-4
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-2-4
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-2-4
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-2-4
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-2-4
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-2-4
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-2-4
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-2-5
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-2-5
18	18	D	Homo_sapiens_tRNA-Gly-GCC-2-5
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-2-5
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-2-5
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-2-5
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-2-5
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-2-5
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-2-5
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-2-5
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-2-6
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-2-6
18	18	D	Homo_sapiens_tRNA-Gly-GCC-2-6
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-2-6
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-2-6
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-2-6
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-2-6
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-2-6
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-2-6
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-2-6
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-2-2
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-2-2
18	18	D	Homo_sapiens_tRNA-Gly-GCC-2-2
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-2-2
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-2-2
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-2-2
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-2-2
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-2-2
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-2-2
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-2-2
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-1-5
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-1-5
18	18	D	Homo_sapiens_tRNA-Gly-GCC-1-5
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-1-5
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-1-5
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-1-5
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-1-5
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-1-5
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-1-5
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-1-5
3	3	Um	Homo_sapiens_tRNA-Gly-GCC-2-3
5	5	m2G	Homo_sapiens_tRNA-Gly-GCC-2-3
18	18	D	Homo_sapiens_tRNA-Gly-GCC-2-3
36	36	m5C	Homo_sapiens_tRNA-Gly-GCC-2-3
45	45	m5C	Homo_sapiens_tRNA-Gly-GCC-2-3
46	46	m5C	Homo_sapiens_tRNA-Gly-GCC-2-3
47	47	m5C	Homo_sapiens_tRNA-Gly-GCC-2-3
51	51	m5U	Homo_sapiens_tRNA-Gly-GCC-2-3
52	52	Y	Homo_sapiens_tRNA-Gly-GCC-2-3
55	55	m1A	Homo_sapiens_tRNA-Gly-GCC-2-3
13	12	Y	Homo_sapiens_tRNA-His-GTG-2-1
16	15	D	Homo_sapiens_tRNA-His-GTG-2-1
19	18	D	Homo_sapiens_tRNA-His-GTG-2-1
20	19	D	Homo_sapiens_tRNA-His-GTG-2-1
47	46	m5C	Homo_sapiens_tRNA-His-GTG-2-1
48	47	m5C	Homo_sapiens_tRNA-His-GTG-2-1
54	53	Y	Homo_sapiens_tRNA-His-GTG-2-1
57	56	m1A	Homo_sapiens_tRNA-His-GTG-2-1
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-1
16	15	D	Homo_sapiens_tRNA-His-GTG-1-1
19	18	D	Homo_sapiens_tRNA-His-GTG-1-1
20	19	D	Homo_sapiens_tRNA-His-GTG-1-1
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-1
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-1
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-1
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-1
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-1
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-2
16	15	D	Homo_sapiens_tRNA-His-GTG-1-2
19	18	D	Homo_sapiens_tRNA-His-GTG-1-2
20	19	D	Homo_sapiens_tRNA-His-GTG-1-2
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-2
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-2
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-2
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-2
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-2
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-3
16	15	D	Homo_sapiens_tRNA-His-GTG-1-3
19	18	D	Homo_sapiens_tRNA-His-GTG-1-3
20	19	D	Homo_sapiens_tRNA-His-GTG-1-3
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-3
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-3
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-3
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-3
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-3
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-4
16	15	D	Homo_sapiens_tRNA-His-GTG-1-4
19	18	D	Homo_sapiens_tRNA-His-GTG-1-4
20	19	D	Homo_sapiens_tRNA-His-GTG-1-4
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-4
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-4
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-4
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-4
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-4
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-7
16	15	D	Homo_sapiens_tRNA-His-GTG-1-7
19	18	D	Homo_sapiens_tRNA-His-GTG-1-7
20	19	D	Homo_sapiens_tRNA-His-GTG-1-7
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-7
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-7
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-7
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-7
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-7
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-8
16	15	D	Homo_sapiens_tRNA-His-GTG-1-8
19	18	D	Homo_sapiens_tRNA-His-GTG-1-8
20	19	D	Homo_sapiens_tRNA-His-GTG-1-8
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-8
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-8
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-8
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-8
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-8
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-9
16	15	D	Homo_sapiens_tRNA-His-GTG-1-9
19	18	D	Homo_sapiens_tRNA-His-GTG-1-9
20	19	D	Homo_sapiens_tRNA-His-GTG-1-9
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-9
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-9
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-9
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-9
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-9
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-5
16	15	D	Homo_sapiens_tRNA-His-GTG-1-5
19	18	D	Homo_sapiens_tRNA-His-GTG-1-5
20	19	D	Homo_sapiens_tRNA-His-GTG-1-5
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-5
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-5
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-5
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-5
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-5
13	12	Y	Homo_sapiens_tRNA-His-GTG-1-6
16	15	D	Homo_sapiens_tRNA-His-GTG-1-6
19	18	D	Homo_sapiens_tRNA-His-GTG-1-6
20	19	D	Homo_sapiens_tRNA-His-GTG-1-6
32	31	Y	Homo_sapiens_tRNA-His-GTG-1-6
47	46	m5C	Homo_sapiens_tRNA-His-GTG-1-6
48	47	m5C	Homo_sapiens_tRNA-His-GTG-1-6
54	53	Y	Homo_sapiens_tRNA-His-GTG-1-6
57	56	m1A	Homo_sapiens_tRNA-His-GTG-1-6
5	5	m2G	Homo_sapiens_tRNA-Met-CAT-6-1
9	9	m2G	Homo_sapiens_tRNA-Met-CAT-6-1
15	15	D	Homo_sapiens_tRNA-Met-CAT-6-1
25	25	m2,2G	Homo_sapiens_tRNA-Met-CAT-6-1
26	26	Y	Homo_sapiens_tRNA-Met-CAT-6-1
30	30	Y	Homo_sapiens_tRNA-Met-CAT-6-1
33	33	Cm	Homo_sapiens_tRNA-Met-CAT-6-1
36	36	t6A	Homo_sapiens_tRNA-Met-CAT-6-1
38	38	Y	Homo_sapiens_tRNA-Met-CAT-6-1
45	45	m7G	Homo_sapiens_tRNA-Met-CAT-6-1
46	46	D	Homo_sapiens_tRNA-Met-CAT-6-1
47	47	m5C	Homo_sapiens_tRNA-Met-CAT-6-1
53	53	m5U	Homo_sapiens_tRNA-Met-CAT-6-1
54	54	Y	Homo_sapiens_tRNA-Met-CAT-6-1
57	57	m1A	Homo_sapiens_tRNA-Met-CAT-6-1
5	5	m2G	Homo_sapiens_tRNA-Met-CAT-1-1
9	9	m2G	Homo_sapiens_tRNA-Met-CAT-1-1
15	15	D	Homo_sapiens_tRNA-Met-CAT-1-1
19	19	D	Homo_sapiens_tRNA-Met-CAT-1-1
25	25	m2,2G	Homo_sapiens_tRNA-Met-CAT-1-1
26	26	Y	Homo_sapiens_tRNA-Met-CAT-1-1
30	30	Y	Homo_sapiens_tRNA-Met-CAT-1-1
33	33	Cm	Homo_sapiens_tRNA-Met-CAT-1-1
36	36	t6A	Homo_sapiens_tRNA-Met-CAT-1-1
38	38	Y	Homo_sapiens_tRNA-Met-CAT-1-1
45	45	m7G	Homo_sapiens_tRNA-Met-CAT-1-1
46	46	D	Homo_sapiens_tRNA-Met-CAT-1-1
47	47	m5C	Homo_sapiens_tRNA-Met-CAT-1-1
53	53	m5U	Homo_sapiens_tRNA-Met-CAT-1-1
54	54	Y	Homo_sapiens_tRNA-Met-CAT-1-1
57	57	m1A	Homo_sapiens_tRNA-Met-CAT-1-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-5-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-5-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-5-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-5-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-5-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-5-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-5-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-5-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-5-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-5-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-5-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-5-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-5-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-5-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-4-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-4-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-4-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-4-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-4-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-4-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-4-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-4-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-4-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-4-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-4-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-4-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-4-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-7-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-7-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-7-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-7-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-7-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-7-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-7-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-7-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-7-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-7-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-7-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-7-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-7-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-7-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-6-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-6-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-6-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-6-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-6-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-6-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-6-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-6-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-6-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-6-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-6-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-6-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-6-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-6-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-3-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-3-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-3-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-3-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-3-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-3-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-3-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-3-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-3-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-3-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-3-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-3-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-3-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-8
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-8
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-8
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-8
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-8
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-8
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-8
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-8
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-8
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-8
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-8
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-8
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-8
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-8
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-7
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-7
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-7
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-7
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-7
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-7
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-7
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-7
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-7
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-7
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-7
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-7
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-7
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-7
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-9-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-9-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-9-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-9-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-9-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-9-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-9-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-9-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-9-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-9-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-9-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-9-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-9-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-9-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-24-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-24-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-24-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-24-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-24-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-24-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-24-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-24-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-24-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-24-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-24-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-24-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-24-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-24-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-14-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-14-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-14-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-14-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-14-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-14-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-14-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-14-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-14-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-14-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-14-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-14-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-14-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-14-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-2
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-2
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-2
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-2
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-2
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-2
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-2
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-2
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-2
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-2
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-2
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-2
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-2
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-2
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-1-1
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-1-1
15	15	D	Homo_sapiens_tRNA-Asn-GTT-1-1
19	19	D	Homo_sapiens_tRNA-Asn-GTT-1-1
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-1-1
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-1-1
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-1-1
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-1-1
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-1-1
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-1-1
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-1-1
47	47	D	Homo_sapiens_tRNA-Asn-GTT-1-1
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-1-1
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-1-1
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-3
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-3
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-3
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-3
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-3
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-3
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-3
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-3
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-3
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-3
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-3
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-3
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-3
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-3
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-4
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-4
15	15	D	Homo_sapiens_tRNA-Asn-GTT-2-4
19	19	D	Homo_sapiens_tRNA-Asn-GTT-2-4
20	20	acp3U	Homo_sapiens_tRNA-Asn-GTT-2-4
26	26	m2,2G	Homo_sapiens_tRNA-Asn-GTT-2-4
27	27	Y	Homo_sapiens_tRNA-Asn-GTT-2-4
28	28	Y	Homo_sapiens_tRNA-Asn-GTT-2-4
34	34	Q	Homo_sapiens_tRNA-Asn-GTT-2-4
37	37	t6A	Homo_sapiens_tRNA-Asn-GTT-2-4
46	46	m7G	Homo_sapiens_tRNA-Asn-GTT-2-4
47	47	D	Homo_sapiens_tRNA-Asn-GTT-2-4
55	55	Y	Homo_sapiens_tRNA-Asn-GTT-2-4
58	58	m1A	Homo_sapiens_tRNA-Asn-GTT-2-4
8	8	m1G	Homo_sapiens_tRNA-Asn-GTT-2-5
9	9	m2G	Homo_sapiens_tRNA-Asn-GTT-2-5
